Ref. Des.,X position,Y position,Angle,Side,MPN,Value,Manufacturer,Package
R29,82.000,6.500,180.000,top,RMCF0603FT15K0,15 kΩ,Stackpole,R0603
R30,82.000,4.250,0.000,top,RMCF0603FT1K47,1.47 kΩ,Stackpole,R0603
R31,63.750,4.750,0.000,top,RMCF0603FT2K00,2 kΩ,Stackpole,R0603
R32,67.000,4.750,0.000,top,RMCF0603FT2K00,2 kΩ,Stackpole,R0603
R33,74.250,2.000,270.000,top,RMCF0603FT499R,499 Ω,Stackpole,R0603
R34,74.250,-2.000,270.000,top,RMCF0603FT499R,499 Ω,Stackpole,R0603
R35,63.750,-4.750,0.000,top,RMCF0603FT2K00,2 kΩ,Stackpole,R0603
R36,67.000,-4.750,0.000,top,RMCF0603FT2K00,2 kΩ,Stackpole,R0603
R37,82.000,-4.500,0.000,top,RMCF0603FT1K47,1.47 kΩ,Stackpole,R0603
R38,77.000,-2.000,90.000,top,RMCF0603FG100R,100 Ω,Stackpole,R0603
R40,74.000,-10.750,270.000,top,RMCF0603ZT0R00,0 Ω,Stackpole,R0603
R41,69.500,-15.000,90.000,top,RMCF0603FT4K02,4.02 kΩ,Stackpole,R0603
R42,69.500,-12.500,90.000,top,RMCF0603FT1K00,1 kΩ,Stackpole,R0603
R43,73.250,-15.000,270.000,top,RMCF0603FT1R00,1 Ω,Stackpole,R0603
S1,29.750,-18.000,180.000,top,TDA01H0SB1R,TDA01H0SB1R,C&K,TDA-SPST-gull-wing
T1,27.250,22.500,0.000,top,DA2304-ALD,DA2304-ALD,Coilcraft,DA230x
T2,27.250,11.750,0.000,top,DA2304-ALD,DA2304-ALD,Coilcraft,DA230x
U1,15.500,4.000,0.000,top,ADP7118AUJZ-3.3-R7,3.3 V,Analog Devices,SOT-23-5
U2,11.014,7.903,90.000,top,LM73100RPWR,LM73100RPWR,Texas Instruments,vqfn-hr-rpw0010a
U3,11.000,14.000,270.000,top,LM73100RPWR,LM73100RPWR,Texas Instruments,vqfn-hr-rpw0010a
